Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0402,3,4.7u,C23733
"C10, C11, C12, C13, C14, C15, C16, C19, C22, C27, C32, C4, C43, C44, C46, C47, C51, C56, C6, C7, C8, C9",0402,22,100nf,C1525
C2,0402,1,4.7u,C368809
"C20, C21",0402,2,15p,C1548
"C23, C45, C48",0402,3,2.2uf,C12530
"C24, C25, C29, C42, C55",0402,5,1uf,C307427
"C26, C31, C33, C37, C38, C49, C50",0603,7,10uf,C96446
"C28, C30, C41, C53",0603,4,4.7uf,C19666
"C34, C35, C36",0603,3,22uf,C59461
"C39, C40",0805,2,2.2nf,C28260
"C52, C57",0805,2,10uf,C1713
C54,0402,1,200nf,C16772
D1,D_SOD-123,1,MBR0540T1G,C21353
"D2, D3",D_SOD-123,2,D_Schottky,C8598
D4,0603,1,LED,C2286
J1,SD-SMD_SD-006M,1,SD_Card_Receptacle,C125615
J2,USB-C-SMD_GT-USB-7047C,1,USB_C_Receptacle_USB2.0_16P,C963218
J5,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,C295747
J6,FPC-SMD_AFC07-S40FCC00,1,Conn_01x42,C11062
J7,AUDIO-SMD_PJ-342-141,1,AudioJack3_Ground_SwitchTR,C7507452
L1,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,1,3.3u,C42411119
L2,L_Sunlord_MWSA0402S,1,1.5uh,C351088
L3,L_TechFuse_SL0420,1,10uh,C22463809
"Q2, Q3, Q4",SOT-23,3,BSS138,C52895
"R1, R32, R33, R38, R48, R49, R50",0402,7,33,C2906931
"R10, R11, R12, R17, R18, R22, R25, R27, R28, R29, R31, R35, R39, R40, R41, R42, R43, R44, R45, R46, R47, R5, R7, R8, R9",0402,25,10k,C2906861
"R13, R14",0402,2,5.1k,C852856
R15,0603,1,820,C23253
"R16, R4, R6",0402,3,1k,C852624
"R19, R26, R30",0402,3,100k,C481918
"R2, R3",0402,2,27,C25105
R20,0603,1,470k,C2907040
R21,0603,1,150k,C326734
"R23, R24",0603,2,470,C218042
R34,0603,1,6.8,C2907056
"R36, R37",0402,2,4.7k,C2906941
R51,0402,1,330,C71626
"SW1, SW10, SW7",KEY-SMD_4P-L4.7-W3.5-P1.70-LS6.4-EH,3,EVQPUL02K,C79175
SW11,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
"SW3, SW4, SW5, SW8, SW9",SW-SMD_4P-L6.2-W6.2-P4.00-LS6.8,5,SW_Push,C115354
U1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
U10,SOT-23-5,1,LP5907MFX-3.3,C23380874
U11,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TPS61165DRV,C122568
U12,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,1,TCA9555RTWR,C140277
U3,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVE,C2456297
U4,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,APS6404L-SQRx-ZR,C3040877
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,C107671
U6,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2350B,C42415655
U7,VREG_TPS63070RNMR,1,TPS63070RNMR,C109322
U8,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24075RGT,C15464
U9,SON50P200X200X80-9N,1,MAX17048G_T10,C2682616
