Designator,Mid X,Mid Y,Rotation,Layer
C1,66.398719,-111.29097,135.0,bottom
C10,71.73813,-97.451559,135.0,bottom
C11,69.798719,-95.91097,90.0,bottom
C12,63.959308,-96.851559,45.0,bottom
C13,61.159308,-106.030381,315.0,bottom
C14,61.159308,-99.751559,45.0,bottom
C15,68.398719,-110.87097,270.0,bottom
C16,54.3,-112.53,0.0,bottom
C19,50.019411,-110.620589,135.0,bottom
C2,64.519308,-110.041559,225.0,bottom
C20,74.13813,-97.630381,45.0,bottom
C21,72.498719,-96.09097,225.0,bottom
C22,63.07,-144.68,270.0,bottom
C23,50.48,-99.25,90.0,bottom
C24,43.38,-88.7,0.0,bottom
C25,45.6,-105.05,0.0,bottom
C26,56.91,-53.85,180.0,bottom
C27,73.02,-76.92,270.0,bottom
C28,78.425,-71.8,0.0,bottom
C29,80.6,-67.8,135.0,bottom
C3,65.209308,-109.351559,225.0,bottom
C30,77.2,-62.825,270.0,bottom
C31,71.8,-61.2,90.0,bottom
C32,67.6,-66.88,270.0,bottom
C33,63.4,-60.2,90.0,bottom
C34,61.03,-60.95,0.0,bottom
C35,59.935,-62.55,0.0,bottom
C36,60.995,-64.14,0.0,bottom
C37,75.4,-61.2,90.0,bottom
C38,73.6,-61.2,270.0,bottom
C39,42.4,-54.55,90.0,bottom
C4,71.68813,-108.330381,225.0,bottom
C40,42.4,-50.9,90.0,bottom
C41,49.2125,-47.8,90.0,bottom
C42,55.475,-46.775,180.0,bottom
C43,46.8,-51.07,90.0,bottom
C44,56.35,-56.275,180.0,bottom
C45,50.075,-57.425,0.0,bottom
C46,56.35,-55.2,0.0,bottom
C47,63.098719,-107.94097,315.0,bottom
C48,45.75,-54.975,90.0,bottom
C49,45.075,-48.7,0.0,bottom
C5,73.448719,-99.14097,135.0,bottom
C50,55.6,-57.675,180.0,bottom
C51,46.345,-56.575,0.0,bottom
C52,47.175,-58.325,180.0,bottom
C53,38.75,-85.2,0.0,bottom
C54,42.52,-75.23,90.0,bottom
C55,46.37,-74.18,270.0,bottom
C56,43.88,-57.2,0.0,bottom
C57,58.4,-56.45,270.0,bottom
C6,62.609308,-98.351559,45.0,bottom
C7,69.398719,-110.37097,270.0,bottom
C8,72.398719,-107.59097,225.0,bottom
C9,75.318719,-103.99097,180.0,bottom
D1,44.42,-75.6325,270.0,bottom
D2,69.84,-55.66,0.0,bottom
D3,64.64,-55.66,180.0,bottom
D4,82.17,-52.732499,90.0,bottom
J1,50.0675,-143.57,90.0,bottom
J2,75.18,-49.9825,180.0,bottom
J3,44.41,-118.3,0.0,bottom
J5,76.0,-82.1,180.0,bottom
J6,56.3,-79.87,0.0,bottom
J7,36.75,-53.69,270.0,bottom
L1,63.488719,-111.12097,225.0,bottom
L2,67.55,-59.55,180.0,bottom
L3,39.825,-82.0,180.0,bottom
Q2,79.4625,-75.25,180.0,bottom
Q3,63.61,-52.62,180.0,bottom
Q4,59.2725,-48.93,0.0,bottom
R1,64.998719,-112.69097,135.0,bottom
R10,63.4,-151.7,315.0,bottom
R11,62.47,-154.9,0.0,bottom
R12,49.019376,-103.500624,315.0,bottom
R13,73.85,-54.58,270.0,bottom
R14,76.69,-54.63,270.0,bottom
R15,79.6,-64.4,0.0,bottom
R16,80.8,-70.4,90.0,bottom
R17,78.8,-69.6,315.0,bottom
R18,71.09,-64.4,180.0,bottom
R19,68.8,-66.88,90.0,bottom
R2,61.848719,-111.94097,45.0,bottom
R20,63.4,-64.4,270.0,bottom
R21,64.625,-67.0,180.0,bottom
R22,60.1,-55.65,90.0,bottom
R23,44.325,-54.375,90.0,bottom
R24,44.3,-51.15,270.0,bottom
R25,76.6,-75.639376,90.0,bottom
R26,68.77,-51.46,180.0,bottom
R27,68.75,-52.63,0.0,bottom
R28,66.41,-52.27,270.0,bottom
